,replicates_count,train_replicate,repeat_no,time(min),R_train,R_validation,R_test_insample,R_test_independent,R_testHQ
49,k1,Virus2_IT_R2,9,3,0.760631349654916,0.7172941403403369,0.7148544818283838,"[0.7167792162295357, 0.7057977865343208, 0.7055896517154684, 0.6587678187176165, 0.6608251860767164, 0.6538565742820768, 0.6677270356874451, 0.6475906942669554, 0.6421350728621519, 0.5536064066195575, 0.5191832736083214, 0.524536125448871]",0.9085323275555695
50,k1,Virus2_IT_R3,0,3,0.7536166649758473,0.7027925725001206,0.7243701038135184,"[0.6913715531430421, 0.6785537820684389, 0.6803987293327552, 0.66104242189758, 0.6638968414134575, 0.656587716414551, 0.6704196176814142, 0.6508913079226256, 0.6463716673910957, 0.545149623614614, 0.5104667849747243, 0.5159608264768686]",0.9068142198737824
51,k1,Virus2_IT_R3,1,3,0.7643851778965693,0.7287815740099389,0.7198236876617669,"[0.7168424802859679, 0.7052448262999479, 0.7050444916470986, 0.6531518120048471, 0.656741396452691, 0.6496653575584135, 0.6592089264601303, 0.6385729619938246, 0.6332676336759175, 0.5514817406366116, 0.5172811577998202, 0.5229456068912047]",0.9039643322693943
52,k1,Virus2_IT_R3,2,3,0.7674441884290886,0.7337890681640465,0.7239595858633091,"[0.7077040861602212, 0.6946256104937398, 0.6954401118729339, 0.656547874927184, 0.659468624753054, 0.6530655025896921, 0.6664564701010747, 0.6472874414111545, 0.6430140680920936, 0.5522730570233109, 0.5161308367345367, 0.5203144315819903]",0.9049838735881702
53,k1,Virus2_IT_R3,3,3,0.7623829083440378,0.7247646508883696,0.719306436118511,"[0.7184848614563142, 0.7063707374319623, 0.7067248875134432, 0.6521070811299783, 0.6543968322908301, 0.6470614656508394, 0.6580347881855705, 0.6371092461785148, 0.6316698126194326, 0.5494117330321879, 0.5133113474725273, 0.5188691382187084]",0.9043078697486416
54,k1,Virus2_IT_R3,4,3,0.761829658846241,0.7218588410569444,0.7242232099191637,"[0.7142792389984485, 0.7018381879405381, 0.702728623808572, 0.6563409006906075, 0.659434413662827, 0.6522662200249038, 0.6639279940328693, 0.6442720328528749, 0.6394316531080313, 0.5498189956125914, 0.5144220628865124, 0.5196024896925228]",0.9065341420416323
55,k1,Virus2_IT_R3,5,2,0.7552750866508674,0.7123669818479456,0.7231038843095542,"[0.7110676182078703, 0.6986600371359774, 0.6997569646174312, 0.6628843194455779, 0.6655123621802922, 0.6583906862596411, 0.6726140923797265, 0.6524495906592285, 0.6473966222965601, 0.5533615290077587, 0.5185824281991039, 0.5249215704015451]",0.9114710921063349
56,k1,Virus2_IT_R3,6,3,0.7677962927598642,0.7250903225102154,0.7221772027305874,"[0.7137108200851159, 0.6999079859366664, 0.7018357506551436, 0.648032129878097, 0.6499967034934686, 0.6428011375413636, 0.6526590330426895, 0.6306774874156497, 0.624841921896357, 0.5477242965079598, 0.5118638662170036, 0.5162073406267279]",0.900496219263903
57,k1,Virus2_IT_R3,7,3,0.7663152885135192,0.7157811680807442,0.7301750266629207,"[0.716331677257485, 0.7044033522653466, 0.704696169803333, 0.6510303454667178, 0.654137646587052, 0.646875786351404, 0.6551347447393109, 0.6339327569076086, 0.629034515262838, 0.5500958937154525, 0.5141616934073947, 0.5194169088701452]",0.9043743609248204
58,k1,Virus2_IT_R3,8,2,0.7575189635161549,0.7214040017477206,0.7213787903290543,"[0.7090202439903026, 0.6963780159708077, 0.6973258429170847, 0.6553423687068374, 0.6583292557798832, 0.65167392848413, 0.662515284258946, 0.642576737864948, 0.6367829646367925, 0.5501948186865123, 0.5134184309668851, 0.519241018713645]",0.9081262908372116
59,k1,Virus2_IT_R3,9,2,0.7523518631134212,0.7189948264902907,0.7239450859167691,"[0.7071169604347735, 0.694831617553508, 0.6957465397086265, 0.6593110649948853, 0.6625407774121653, 0.655724926262322, 0.6704347460597687, 0.6510139228745818, 0.6447222340810618, 0.552508826718998, 0.5178056655646812, 0.5235967300460259]",0.9138226466418532
60,k1,Virus1_KC_R1,0,3,0.7731720770114567,0.7345343825013791,0.7212281524557781,"[0.715061055015337, 0.701986414258224, 0.7033355596451009, 0.6547703856254815, 0.6567487148761424, 0.6496362079224866, 0.6640667420879833, 0.6431023539823147, 0.637925759078001, 0.5563850859720506, 0.5213570840306065, 0.526511385309139]",0.8988995905212332
61,k1,Virus1_KC_R1,1,3,0.7705366276206022,0.74356152076588,0.7238038037336102,"[0.7152975842871628, 0.7030785906299594, 0.7033597669363956, 0.6547733401082716, 0.6571773813947939, 0.6507181345333494, 0.6633519375613264, 0.6425223428988758, 0.638325360199629, 0.5549612463796165, 0.5204272078681066, 0.5252571826378591]",0.8979867455132641
