n_features,n_samples,corr_Ytrue_Ynoisy1,corr_Ytrue_Ynoisy2,corr_Ynoisy1_Ynoisy2,corr_pred0_Ytrue,corr_pred_Ytrue,corr_pred_Ynoisy1,corr_pred_Ynoisy2,iteration_corr_pred_Ytrue,iteration_corr_pred_Ynoisy1,corr_pred_Ytrue_optimal
52,10400,0.9039479539317679,0.7783483030735947,0.7047142183785287,0.8951658534410851,0.9116056454248793,0.8227528506618697,0.6860605073806904,"[0.9000687624283108, 0.9125048304975756]","[0.8373366667399009, 0.8453114884166139]",0.9279044751664405
58,11600,0.6925259329618517,0.8139229751586343,0.5661624781326733,0.7528143759058872,0.8226566647482131,0.608961069862985,0.6716356610635361,"[0.8075222386449229, 0.8613309896806678, 0.8616024471231678, 0.8670098695915884, 0.867216272220815, 0.8645366505251103, 0.8660842447323314, 0.8674095803135726, 0.8638110846836988, 0.8664578107017357, 0.8635980825214399]","[0.6689267368433987, 0.6655266489072487, 0.6567926752544141, 0.6541656695180083, 0.6456731642335725, 0.6406386159255375, 0.6404958065199162, 0.6367814402639054, 0.6331371916320829, 0.633193245942425, 0.6298186113574125]",0.8790816063625347
70,14000,0.9997601674958863,0.5460257819280421,0.5459863517506693,0.934197657488856,0.9429136715931317,0.9424975545770555,0.4880992166561128,"[0.9459600364346381, 0.9476558856530714, 0.9473731081175393, 0.945499893374319, 0.944289910215844, 0.943178620970813, 0.9430863298589587, 0.9400671524015793]","[0.9456986115899998, 0.9473539601163103, 0.9470972487299552, 0.9451915341598617, 0.9439688608601283, 0.9428935254520838, 0.9427953394211162, 0.9397354188919593]",0.9309130204707612
87,17400,0.7724545935811281,0.8942215057723781,0.688344686945294,0.8517555722526929,0.9036803083894372,0.6765397435419624,0.7919979053877273,"[0.896298430739676, 0.9136563513370783, 0.9195274388968435, 0.9238578653266898, 0.9249748174467347, 0.9244535528961477, 0.9240168411627521, 0.922940538481527, 0.9229804601372553, 0.9212356578086558]","[0.7581629430048578, 0.7541882624765479, 0.751799129888575, 0.7507884977500219, 0.7469674480042675, 0.7438807913433864, 0.7402514064149938, 0.7402319091433022, 0.7384541593184288, 0.7358470125894085]",0.9391346523846257
58,11600,0.6122016210704755,0.8354385641299056,0.5127354490553162,0.7636207810063764,0.8840809763100814,0.5506598284700357,0.7206659250933536,"[0.8277815700241573, 0.8732097181346814, 0.8937275652653522, 0.900514459558176, 0.9029231785886002, 0.900762142600253]","[0.5972790672721824, 0.6008499237173677, 0.5954954009339858, 0.6013885026353175, 0.5998814820306366, 0.589993166361561]",0.9476761414856416
29,5800,0.524394954097383,0.9420327451020646,0.49317921929669756,0.749726938877295,0.8291066527496159,0.41514749972650333,0.7655705067498073,"[0.7999622846563252, 0.8185609984406199, 0.8379475072760008, 0.8401618799253144, 0.8459140611705379, 0.8448843409673662, 0.8471907775531564, 0.8462515784338386, 0.8472981640269401, 0.8479771214883817, 0.8442352147682789, 0.8470483031656466]","[0.49527693164059167, 0.537855290712679, 0.5300986462252504, 0.5153725429810154, 0.5182794190149727, 0.5093986428610813, 0.50771719492707, 0.5073048727966154, 0.505294209854149, 0.5026313899234599, 0.4990529337866435, 0.5025379390520801]",0.9330797023531969
43,8600,0.8482033657098633,0.920840624778199,0.7805515818676301,0.8813747407727479,0.9194925433216372,0.8047246316481176,0.8469935748236415,"[0.8971130472990495, 0.9012690125281504, 0.906071715617494, 0.9074554294903472]","[0.7932512809128986, 0.7956089860607498, 0.7920929159143746, 0.7923926508777988]",0.9199988952754906
13,2600,0.9987419337094466,0.6678453470884727,0.6676043463539905,0.9394511705381191,0.9273721080092028,0.9245295479798319,0.6114887210441874,"[0.9662889649950906, 0.9705556578876082, 0.9627840182323734, 0.9575004061689429, 0.9519497002641291, 0.95497798837523]","[0.9654588298083369, 0.9696849160657699, 0.961850214541507, 0.9568954765312551, 0.9511826900034915, 0.9541566636831064]",0.884824360855763
88,17600,0.8705759067519726,0.4569218394425895,0.3978260546828719,0.9151671796138894,0.9375081775224119,0.8176945845796562,0.43835829135525395,"[0.9281590798876401, 0.9374675003070543, 0.9412395435092578, 0.94082350192498, 0.9405362234943503, 0.9377427301559581, 0.9404232862000454, 0.9395247555530523, 0.9382734227882527]","[0.846560969753615, 0.8456356552194958, 0.8444198122350929, 0.8408765361814067, 0.8386824658625059, 0.8339302479252805, 0.8353238058056341, 0.8335788070802302, 0.8314915470104703]",0.9559089194828532
44,8800,0.778630471563142,0.6624856685164273,0.5228727590622745,0.8534056862083331,0.9007229812780834,0.6932202077596639,0.565798336343468,"[0.8925313143055019, 0.9149177446994825, 0.9196386974125148, 0.9227268441333631, 0.9193953839492341, 0.9227599740215604]","[0.7575106854299924, 0.758493805553405, 0.7534437120982918, 0.7559818109577419, 0.7466293724026083, 0.7469338373924678]",0.9201082507516918
