n_features,n_samples,corr_Ytrue_Ynoisy1,corr_Ytrue_Ynoisy2,corr_Ynoisy1_Ynoisy2,corr_Yavg12_Ytrue,var_Ynoisy1,var_Ynoisy2,corr_pred_Ytrue,corr_pred_Ynoisy1,corr_pred_Ynoisy2,corr_pred_YnoisyLow,corr_pred_YnoisyHigh,var_Ypred,cov_Ynoisy1_Ynoisy2,cov_pred_Ynoisy1
144,28800,0.6699737259191544,0.9104423462105999,0.6100597100088403,0.8580264815842993,0.4057595321217659,0.22028627886475638,0.8265924626714007,0.5619900637273241,0.7551700939283181,0.7360938616947896,0.44083838048054846,0.19916636,0.1823976685955103,0.16231804100104605
72,14400,0.691124909237257,0.8848637276347306,0.6119829636750319,0.8634626190470058,0.45538225893318585,0.282698440500534,0.8303007759704129,0.5905488818109227,0.7335307903867241,0.8143785028457159,0.3719144373826443,0.2367124,0.21959719741655173,0.19946626848559898
479,95800,0.8347246984205116,0.5767391191038593,0.4803442717585669,0.7873666978331066,0.20494929400647224,0.43759666949497117,0.8425516368554485,0.7081973097540448,0.49542350429109205,0.6293710209963788,0.5550011296740461,0.1400852,0.14385285976647086,0.12218096075321194
149,29800,0.607568876825748,0.6069543911466228,0.37597228527736604,0.7321218053758427,0.49789288650338803,0.4852544886998007,0.7949602047585034,0.5030059686050881,0.49653628775009784,0.6613652631247757,0.5541545911386668,0.20560665,0.18481056341846175,0.1627993631683118
276,55200,0.5153260757932262,0.8709119416930574,0.44793459465681745,0.7512777813517931,0.5802149276841648,0.20202139682719406,0.7178941667440631,0.37197489819108687,0.625351083143096,0.7110457214428776,0.41007966350472064,0.16105135,0.1533619328736546,0.11369366575310262
114,22800,0.6852899016173052,0.973024991975968,0.66524793458327,0.8799276287871999,0.235876046022144,0.12027962474049542,0.766552920334389,0.5248480215945514,0.7487780123866223,0.6435820452726331,0.33357813247957724,0.0911552,0.11205862708898219,0.07583761997377977
390,78000,0.7133557653234118,0.8654244345655464,0.6162473752917664,0.869197006206572,0.32453376814536605,0.22206986553236147,0.806596746405319,0.5817921170504666,0.6981660017391133,0.7823422924055583,0.5537259252497224,0.13570046,0.1654385836812875,0.12232913104943993
434,86800,0.9923408905869705,0.8906632604641042,0.8839021405017642,0.9671830893934728,0.1556849130205663,0.19298845477378596,0.8731661959344306,0.8659411492246222,0.7699414604494323,0.6990985814499513,0.3945469495192061,0.11296517,0.15321432368998272,0.11072892547144275
446,89200,0.4863335732309644,0.8119078265908501,0.3912148747367876,0.7205537320392488,0.6112138729060945,0.22295679973251423,0.7230771731240355,0.3659581731728089,0.5890408223911747,0.6264160377109999,0.35912019966644076,0.1346642,0.1444203548123658,0.10636988037997283
16,3200,0.8357450212187536,0.9965802453726305,0.8333178681191353,0.9500363065188971,0.08245606001637293,0.06017330786294768,0.6373908517725382,0.5651939377456662,0.6374708741249624,0.570392610144257,0.3078425143272666,0.027401846,0.05872102209418653,0.02541516755034606
